Titles,Labels
"Understanding the redshift evolution of the luminosity functions of
  Lyman-alpha emitters",astro-ph.CO
Dark Energy in vector-tensor theories of gravity,astro-ph.CO
B-mode CMB Polarization from Patchy Screening during Reionization,astro-ph.CO
Stochastic contribution to the growth factor in the LCDM model,astro-ph.CO
Discovery of an extremely bright submillimeter galaxy at z=3.93,astro-ph.CO
EFOSC2 Spectroscopy of SWIRE-CDFS Galaxies,astro-ph.CO
"Star-forming galaxies in low-redshift clusters: Comparison of integrated
  properties of cluster and field galaxies",astro-ph.CO
"Intergalactic Gas in Groups of Galaxies: Implications for Dwarf
  Spheroidal Formation and The Missing Baryons Problem",astro-ph.CO
"Optical and IR Photometry of Globular Clusters in NGC1399: Evidence for
  Color-Metallicity Nonlinearity",astro-ph.CO
"Optimal Constraints on Local Primordial Non-Gaussianity from the
  Two-Point Statistics of Large-Scale Structure",astro-ph.CO
Introducing the Dirac-Milne universe,astro-ph.CO
"A highly magnified supernova at z=1.703 behind the massive galaxy
  cluster Abell 1689",astro-ph.CO
Statistics of Bipolar Representation of CMB maps,astro-ph.CO
"A Method for 21cm Power Spectrum Estimation in the Presence of
  Foregrounds",astro-ph.CO
"Discovery Of Cold, Pristine Gas Possibly Accreting Onto An Overdensity
  Of Star-Forming Galaxies At Redshift z ~ 1.6",astro-ph.CO
"Cosmic rays and the magnetic field in the nearby starburst galaxy NGC253
  III. Helical magnetic fields in the nuclear outflow",astro-ph.CO
"Modeling the nonlinear clustering in modified gravity models I: A
  fitting formula for matter power spectrum of f(R) gravity",astro-ph.CO
"On the baryon acoustic oscillation amplitude as a probe of radiation
  density",astro-ph.CO
"Spitzer IRS observations of k+a galaxies: A link between PAH emission
  properties and AGN feedback?",astro-ph.CO
"2D mapping of young stars in the inner 180 pc of NGC 1068: correlation
  with molecular gas ring and stellar kinematics",astro-ph.CO
"The Cosmological Constant Constrained with Union2.1 Supernovae Type Ia
  Data. Derivation and evaluation of several FRW and Carmeli models presenting
  underwhelming support for the standard model",astro-ph.CO
The Nature of LoBAL QSOs: I. SEDs and mid-infrared spectral properties,astro-ph.CO
Super-Sample CMB Lensing,astro-ph.CO
"Star formation properties in the Local Volume galaxies via $Hë±$ and
  FUV fluxes",astro-ph.CO
"The triggering probability of radio-loud AGN: A comparison of high and
  low excitation radio galaxies in hosts of different colors",astro-ph.CO
"Planck Intermediate Results. IV. The XMM-Newton validation programme for
  new Planck galaxy clusters",astro-ph.CO
"The correlated optical and radio variability of BL Lacertae. WEBT data
  analysis 1994-2005",astro-ph.CO
"Simultaneous Planck, Swift, and Fermi observations of X-ray and
  gamma-ray selected blazars",astro-ph.CO
Can weak lensing surveys confirm BICEP2 ?,astro-ph.CO
"Disentangling satellite galaxy populations using orbit tracking in
  simulations",astro-ph.CO
Loops formed by tidal tails as fossil records of a major merger,astro-ph.CO
"A wavelet-Galerkin algorithm of the E/B decomposition of CMB
  polarization maps",astro-ph.CO
Can we really measure fnl from the galaxy power spectrum?,astro-ph.CO
Reconciling extremely different concentration-mass relations,astro-ph.CO
AGN feedback works both ways,astro-ph.CO
"Analysis of Molecular Hydrogen Absorption toward QSO B0642-5038 for a
  Varying Proton-to-Electron Mass Ratio",astro-ph.CO
"Constraining Neutrinos and Dark Energy with Galaxy Clustering in the
  Dark Energy Survey",astro-ph.CO
Galactic cluster winds in presence of a dark energy,astro-ph.CO
"Constraining the Anisotropy of the Universe from Supernovae and
  Gamma-ray Bursts",astro-ph.CO
Large-scale 3D galaxy correlation function and non-Gaussianity,astro-ph.CO
Allan Sandage and the Distance Scale,astro-ph.CO
"The clustering of $z > 7$ galaxies: Predictions from the BLUETIDES
  simulation",astro-ph.CO
Effect of primordial magnetic fields on the ionization history,astro-ph.CO
"Halo mass function: Baryon impact, fitting formulae and implications for
  cluster cosmology",astro-ph.CO
Multi-wavelength constraints on the inflationary consistency relation,astro-ph.CO
"Cosmological Forecasts for Combined and Next Generation Peculiar
  Velocity Surveys",astro-ph.CO
"Detection of universality of dark matter profile from Subaru weak
  lensing measurements of 50 massive clusters",astro-ph.CO
Increasing Fisher Information by Moving-Mesh Reconstruction,astro-ph.CO
"II. Apples to apples $A^2$: cluster selection functions for
  next-generation surveys",astro-ph.CO
"I. Apples to apples $A^2$: realistic galaxy simulated catalogs and
  photometric redshift predictions for next-generation surveys",astro-ph.CO
"Non-parametric deprojection of NIKA SZ observations: Pressure
  distribution in the Planck-discovered cluster PSZ1 G045.85+57.71",astro-ph.CO
"Pixel Noise Effect and its Correction method by ERA Method for Precise
  Weak Gravitational Lensing Shear Measurement",astro-ph.CO
"Compressed sensing reconstruction of a string signal from
  interferometric observations of the cosmic microwave background",astro-ph.CO
"Cross-entropy optimiser: a new tool to study precession in astrophysical
  jets",astro-ph.CO
"Genus statistics using the Delaunay tessellation field estimation
  method: (I) tests with the Millennium Simulation and the SDSS DR7",astro-ph.CO
"Stars quenching stars: how photoionization by local sources regulates
  gas cooling and galaxy formation",astro-ph.CO
The host galaxies of core-collapse supernovae and gamma ray bursts,astro-ph.CO
The Mass Profile of the Galaxy to 80 kpc,astro-ph.CO
Survival of Star-Forming Giant Clumps in High-Redshift Galaxies,astro-ph.CO
"Radio Galaxy NGC 1265 unveils the Accretion Shock onto the Perseus
  Galaxy Cluster",astro-ph.CO
"The XMM-Newton Wide Angle Survey (XWAS): the X-ray spectrum of type-1
  AGN",astro-ph.CO
"NIR Spectroscopy of Star-Forming Galaxies at z~1.4 with Subaru/FMOS: The
  Mass-Metallicity Relation",astro-ph.CO
The QUaD Galactic Plane Survey II: A Compact Source Catalog,astro-ph.CO
"Probing Population III Stars in Galaxy IOK-1 at z = 6.96 through He II
  Emission",astro-ph.CO
"Deriving the pattern speed using dynamical modelling of gas flows in
  barred galaxies",astro-ph.CO
"A catalog of planetary nebula candidates in the Sculptor spiral galaxy
  NGC 300",astro-ph.CO
"An alternative singularity-free cosmological scenario from cusp
  geometries",astro-ph.CO
Dynamics of the Universe in Problems,astro-ph.CO
"From Filamentary Networks to Dense Cores in Molecular Clouds: Toward a
  New Paradigm for Star Formation",astro-ph.CO
Efficient 3D NLTE dust radiative transfer with SKIRT,astro-ph.CO
"Characterizing Quasars in the Mid-infrared: High Signal-to-Noise
  Spectral Templates",astro-ph.CO
Flaring gamma-ray AGNs seen with the FERMI LAT,astro-ph.CO
N-Body Simulations of DGP and Degravitation Theories,astro-ph.CO
"Metric of a Slow Rotating Body with Quadrupole Moment from the
  Erez-Rosen Metric",astro-ph.CO
"Global Properties of M31's Stellar Halo from the SPLASH Survey. I.
  Surface Brightness Profile",astro-ph.CO
SDSS 0956+5128: A Broad-line Quasar with Extreme Velocity Offsets,astro-ph.CO
"Brightness and Fluctuation of the Mid-Infrared Sky from AKARI
  Observations towards the North Ecliptic Pole",astro-ph.CO
SUSY into Darkness: Heavy Scalars in the CMSSM,astro-ph.CO
"A Dark Energy Camera Search for Missing Supergiants in the LMC After the
  Advanced LIGO Gravitational Wave Event GW150914",astro-ph.CO
Star forming filaments in warm dark matter models,astro-ph.CO
Non-Minimal Braneworld Inflation after the Planck,astro-ph.CO
"Chaos, decoherence and quantum cosmology",astro-ph.CO
"Impact of Redshift Information on Cosmological Applications with
  Next-Generation Radio Surveys",astro-ph.CO
Occupy magnetogenesis,astro-ph.CO
Inflation by Alignment,astro-ph.CO
"The reversal of the SF-density relation in a massive, X-ray selected
  galaxy cluster at z=1.58: results from Herschel",astro-ph.CO
What is the distance to the CMB?,astro-ph.CO
"The rise and fall of star-formation in $\bf z\sim0.2$ merging galaxy
  clusters",astro-ph.CO
A mid infrared study of low-luminosity AGNs with WISE,astro-ph.CO
Torsion bar antenna in the proper reference frame with rotation,astro-ph.CO
"Formation pathway of Population III coalescing binary black holes
  through stable mass transfer",astro-ph.CO
Gas dynamics in tidal dwarf galaxies: disc formation at z=0,astro-ph.CO
"Serendipitous discovery of an extended X-ray jet without a radio
  counterpart in a high-redshift quasar",astro-ph.CO
"Bow Ties in the Sky II: Searching for Gamma-ray Halos in the Fermi Sky
  Using Anisotropy",astro-ph.CO
"Departures from the FLRW Cosmological Model in an Inhomogeneous
  Universe: A Numerical Examination",astro-ph.CO
Impact of galactic and intergalactic dust on the stellar EBL,astro-ph.CO
Aligned natural inflation with modulations,astro-ph.CO
Clusters of galaxies and the cosmic web with SKA,astro-ph.CO
Cosmological Solutions of $f(T)$ Gravity,astro-ph.CO
Column Density Profiles of Multi-Phase Gaseous Halos,astro-ph.CO
Planetary evaporation by UV & X-ray radiation: basic hydrodynamics,astro-ph.EP
"First order resonance overlap and the stability of close two planet
  systems",astro-ph.EP
"On collisional capture rates of irregular satellites around the
  gas-giant planets and the minimum mass of the solar nebula",astro-ph.EP
Continued activity in P/2013 P5 PANSTARRS - The comet that should not be,astro-ph.EP
"HAT-P-11b: A Super-Neptune Planet Transiting a Bright K Star in the
  Kepler Field",astro-ph.EP
"Potential Biases in the Detection of Planetary Systems with Large
  Transit Timing Variations",astro-ph.EP
Making systems of Super Earths by inward migration of planetary embryos,astro-ph.EP
"Metallicity of the Massive Protoplanets Around HR 8799 If Formed by
  Gravitational Instability",astro-ph.EP
"The quasi-universality of chondrule size as a constraint for chondrule
  formation models",astro-ph.EP
Do Giant Planets Survive Type II Migration?,astro-ph.EP
Identification of known objects in solar system surveys,astro-ph.EP
HAT-P-14b: A 2.2 Jupiter-mass exoplanet transiting a bright F star,astro-ph.EP
"A Search for Methane in the Atmosphere of GJ 1214b via GTC Narrow-Band
  Transmission Spectrophotometry",astro-ph.EP
"Colors of a Second Earth II: Effects of Clouds on Photometric
  Characterization of Earth-like Exoplanets",astro-ph.EP
Photometric Phase Variations of Long-Period Eccentric Planets,astro-ph.EP
Three Body Resonance Overlap in Closely Spaced Multiple Planet Systems,astro-ph.EP
Observations of a Stationary Mid-Latitude Cloud System on Titan,astro-ph.EP
Habitability of Exomoons at the Hill or Tidal Locking Radius,astro-ph.EP
Formation of Kuiper Belt Binaries by Gravitational Collapse,astro-ph.EP
"The Resolved Asteroid Program - Size, shape, and pole of (52) Europa",astro-ph.EP
"Explorations into the Viability of Coupled Radius-Orbit Evolutionary
  Models for Inflated Planets",astro-ph.EP
Tidal dissipation in a homogeneous spherical body. I. Methods,astro-ph.EP
"A comprehensive study of distribution laws for the fragments of
  KoÁice meteorite",astro-ph.EP
"Atmospheric dynamics of terrestrial exoplanets over a wide range of
  orbital and atmospheric parameters",astro-ph.EP
The Imprecise Search for Habitability,astro-ph.EP
"The Mass of KOI-94d and a Relation for Planet Radius, Mass, and Incident
  Flux",astro-ph.EP
"Limits on orbit crossing planetesimals in the resonant multiple planet
  system, KOI-730",astro-ph.EP
"Jovian Early Bombardment: planetesimal erosion in the inner asteroid
  belt",astro-ph.EP
The Cratering History of Asteroid (21) Lutetia,astro-ph.EP
The three-dimensional structure of Saturn's E ring,astro-ph.EP
Recent multi-kiloton impact events: are they truly random?,astro-ph.EP
Escape of the martian protoatmosphere and initial water inventory,astro-ph.EP
Architectures of Planetary Systems and Implications for their Formation,astro-ph.EP
"Spatially Resolved Images of Dust Belt(s) Around the Planet-hosting
  Subgiant Kappa CrB",astro-ph.EP
Slowly-growing gap-opening planets trigger weaker vortices,astro-ph.EP
Gas and dust structures in protoplanetary disks hosting multiple planets,astro-ph.EP
"Turbulent Thermal Diffusion: A Way to Concentrate Dust in Protoplanetary
  Discs",astro-ph.EP
"Inferring the interplanetary dust properties from remote observations
  and simulations",astro-ph.EP
Ultra Short Period Planets in K2: SuPerPiG Results for Campaigns 0-5,astro-ph.EP
